,Scenario,Scenario type,Average uncertainty (beds),Max uncertainty,Global accuracy,"MAE (median, beds)","MAE (low, beds)","MAE (high, beds)",Period
"Scenario: 2021/02/08, period: 0 days - 14 days",2021/02/08,New hosp.,754.1,1134.0,0.0,569.8,306.7,1060.9,0 days - 14 days
"Scenario: 2021/02/08, period: 14 days - 28 days",2021/02/08,New hosp.,1060.4,1826.0,0.0,689.1,315.3,1375.7,14 days - 28 days
"Scenario: 2021/02/08, period: 28 days - 42 days",2021/02/08,New hosp.,540.8,670.0,0.0,964.5,694.1,1234.9,28 days - 42 days
"Scenario: 2021/02/23, period: 0 days - 14 days",2021/02/23,New hosp.,239.3,545.0,51.9,346.8,402.7,166.3,0 days - 14 days
"Scenario: 2021/04/26, period: 0 days - 14 days",2021/04/26,New hosp.,235.4,302.0,0.0,309.8,189.9,425.4,0 days - 14 days
"Scenario: 2021/04/26, period: 14 days - 28 days",2021/04/26,New hosp.,347.6,457.0,0.0,449.5,277.3,624.9,14 days - 28 days
"Scenario: 2021/04/26, period: 28 days - 42 days",2021/04/26,New hosp.,653.4,844.0,0.0,491.7,220.5,873.9,28 days - 42 days
"Scenario: 2021/05/21, period: 0 days - 14 days",2021/05/21,New hosp.,80.9,180.3,54.2,86.2,132.1,63.7,0 days - 14 days
"Scenario: 2021/05/21 ICU, period: 0 days - 14 days",2021/05/21 ICU,ICU,150.9,241.0,0.0,483.3,541.8,390.9,0 days - 14 days
"Scenario: 2021/07/26 ICU, period: 0 days - 14 days",2021/07/26 ICU,ICU,202.1,381.0,7.8,316.5,423.8,235.3,0 days - 14 days
"Scenario: 2021/07/26 ICU, period: 14 days - 28 days",2021/07/26 ICU,ICU,1336.1,2702.0,7.8,789.6,228.9,1494.2,14 days - 28 days
"Scenario: 2021/07/26 ICU, period: 28 days - 42 days",2021/07/26 ICU,ICU,5216.9,7564.0,7.8,2898.8,632.4,5849.4,28 days - 42 days
"Scenario: 2021/07/26 ICU, period: 42 days - 56 days",2021/07/26 ICU,ICU,9186.4,9942.0,7.8,4170.7,647.0,9833.4,42 days - 56 days
"Scenario: 2021/07/26, period: 0 days - 14 days",2021/07/26,New hosp.,42.9,147.0,0.0,149.4,133.1,175.9,0 days - 14 days
"Scenario: 2021/07/26, period: 14 days - 28 days",2021/07/26,New hosp.,903.9,1719.0,0.0,974.6,502.8,1406.7,14 days - 28 days
"Scenario: 2021/07/26, period: 28 days - 42 days",2021/07/26,New hosp.,2596.9,3157.0,0.0,1767.6,616.7,3213.6,28 days - 42 days
"Scenario: 2021/07/26, period: 42 days - 56 days",2021/07/26,New hosp.,2960.0,3198.0,0.0,1680.2,509.6,3469.6,42 days - 56 days
"Scenario: 2021/08/05, period: 0 days - 14 days",2021/08/05,New hosp.,486.2,1005.0,58.9,481.6,141.6,627.9,0 days - 14 days
"Scenario: 2021/08/05, period: 14 days - 28 days",2021/08/05,New hosp.,1515.7,1813.0,58.9,997.6,31.4,1531.6,14 days - 28 days
"Scenario: 2021/08/05, period: 28 days - 42 days",2021/08/05,New hosp.,1730.3,1836.0,58.9,1019.1,53.1,1677.2,28 days - 42 days
"Scenario: 2021/08/05, period: 42 days - 56 days",2021/08/05,New hosp.,1192.1,1486.0,58.9,708.9,48.3,1143.9,42 days - 56 days
"Scenario: 2021/08/05 ICU, period: 0 days - 14 days",2021/08/05 ICU,ICU,1022.5,1961.0,91.1,460.2,63.3,968.1,0 days - 14 days
"Scenario: 2021/08/05 ICU, period: 14 days - 28 days",2021/08/05 ICU,ICU,3695.6,5230.0,91.1,1447.2,159.0,3538.6,14 days - 28 days
"Scenario: 2021/08/05 ICU, period: 28 days - 42 days",2021/08/05 ICU,ICU,6418.8,7043.0,91.1,1917.2,497.1,5921.7,28 days - 42 days
"Scenario: 2021/08/05 ICU, period: 42 days - 56 days",2021/08/05 ICU,ICU,6833.8,7095.0,91.1,1728.2,579.5,6254.3,42 days - 56 days
"Scenario: 2021/10/04, period: 0 days - 14 days",2021/10/04,New hosp.,14.9,22.0,0.0,67.1,81.6,66.8,0 days - 14 days
"Scenario: 2021/10/04, period: 14 days - 28 days",2021/10/04,New hosp.,37.9,68.0,0.0,132.9,152.1,114.2,14 days - 28 days
"Scenario: 2021/10/04, period: 28 days - 42 days",2021/10/04,New hosp.,114.3,166.0,0.0,216.1,291.3,177.0,28 days - 42 days
"Scenario: 2021/10/04, period: 42 days - 56 days",2021/10/04,New hosp.,235.1,332.0,0.0,398.0,508.6,273.5,42 days - 56 days
"Scenario: 2021/10/04, period: 56 days - 70 days",2021/10/04,New hosp.,492.1,682.0,0.0,709.6,886.2,394.1,56 days - 70 days
"Scenario: 2022/01/07, period: 0 days - 14 days",2022/01/07,New hosp.,979.0,1839.2,0.0,1272.2,794.1,1773.2,0 days - 14 days
"Scenario: 2022/01/07, period: 14 days - 28 days",2022/01/07,New hosp.,1802.4,2088.5,0.0,1707.9,808.9,2611.2,14 days - 28 days
"Scenario: 2022/01/07 ICU, period: 0 days - 14 days",2022/01/07 ICU,ICU,367.9,960.0,4.9,360.5,216.2,554.8,0 days - 14 days
"Scenario: 2022/01/07 ICU, period: 14 days - 28 days",2022/01/07 ICU,ICU,2130.0,3060.0,4.9,1725.2,756.6,2886.6,14 days - 28 days
"Scenario: 2022/01/07 ICU, period: 28 days - 42 days",2022/01/07 ICU,ICU,3292.1,3420.0,4.9,2776.4,1184.2,4476.4,28 days - 42 days
"Scenario: 2022/01/07 ICU, period: 42 days - 56 days",2022/01/07 ICU,ICU,2317.1,2990.0,4.9,2534.6,1243.2,3560.4,42 days - 56 days
"Scenario: 2022/01/07 ICU, period: 56 days - 70 days",2022/01/07 ICU,ICU,924.3,1500.0,4.9,1360.2,747.4,1671.6,56 days - 70 days
